〇	zero	líng
便笺	memo/notepaper/memo pad	biàn jiān
便签	note/memo	biàn qiān
便签	note/memo	biàn qiān
便箋	memo/notepaper/memo pad	biàn jiān
便箋	memo/notepaper/memo pad	biàn jiān
便簽	note/memo	biàn qiān
便簽	note/memo	biàn qiān
便衣	plainclothesman/civilian clothes	biàn yī
便衣	plainclothesman/civilian clothes	biàn yī
便覽	brief guide	biàn lǎn
便覽	brief guide	biàn lǎn
便览	brief guide	biàn lǎn
便览	brief guide	biàn lǎn
便道	pavement	biàn dào
便道	pavement	biàn dào
便酌	informal dinner	biàn zhuó
便酌	informal dinner	biàn zhuó
便門	side door	biàn mén
便門	side door	biàn mén
便门	side door	biàn mén
便门	side door	biàn mén
便难	retort with challenging questions	biàn nàn
便难	retort with challenging questions	biàn nàn
便難	retort with challenging questions	biàn nàn
便難	retort with challenging questions	biàn nàn
便難	retort with challenging questions	biàn nàn
便難	retort with challenging questions	biàn nàn
便鞋	slippers/cloth shoes	biàn xié
便鞋	slippers/cloth shoes	biàn xié
便饭	simple meal	biàn fàn
便饭	simple meal	biàn fàn
俁	big	yǔ
係	be/relate to	xì
係數	coefficient	xì shù
係數	coefficient	xì shù
促	urge	cù
促使	impel/urge/to urge	cù shǐ
促声	entering tone	cù shēng
促成	facilitate/effect	cù chéng
促狭	mischievous	cù xiá
促狹	mischievous	cù xiá
促織	cricket	cù zhī
促织	cricket	cù zhī
促聲	entering tone	cù shēng
促请	urge	cù qǐng
促进	to promote/promote	cù jìn
促進	to promote/promote	cù jìn
促銷	to promote	cù xiāo
促销	to promote	cù xiāo
俄	Russian/Russia	é
俄亥俄	Ohio	é hài é
俄亥俄州	Ohio	é hài é zhōu
俄亥俄州立大学	Ohio State University	é hài é zhōu lì dà xué
俄亥俄州立大学	Ohio State University	é hài é zhōu 立 dà xué
俄亥俄州立大學	Ohio State University	é hài é zhōu lì dà xué
俄亥俄州立大學	Ohio State University	é hài é zhōu 立 dà xué
俄備得	Obed	é bèi dé
俄克拉何馬	Oklahoma	é kè lā hé mǎ
俄克拉何馬	Oklahoma	é kè lā hé mǎ
俄克拉何馬城	Oklahoma City	é kè lā hé mǎ chéng
俄克拉何馬城	Oklahoma City	é kè lā hé mǎ chéng
俄克拉何马	Oklahoma	é kè lā hé mǎ
俄克拉何马	Oklahoma	é kè lā hé mǎ
俄克拉何马城	Oklahoma City	é kè lā hé mǎ chéng
俄克拉何马城	Oklahoma City	é kè lā hé mǎ chéng
俄克拉荷馬州	Oklahoma	é kè lā hé mǎ zhōu
俄克拉荷馬州	Oklahoma	é kè 拉 hé mǎ zhōu
俄克拉荷马州	Oklahoma	é kè lā hé mǎ zhōu
俄克拉荷马州	Oklahoma	é kè 拉 hé mǎ zhōu
俄勒冈	Oregon	é lè gāng
俄勒冈	Oregon	é lè gāng
俄勒冈州	Oregon	é lè gāng zhōu
俄勒冈州	Oregon	é lè gāng zhōu
俄勒岡	Oregon	é lè gāng
俄勒岡	Oregon	é lè gāng
俄勒岡州	Oregon	é lè gāng zhōu
俄勒岡州	Oregon	é lè gāng zhōu
俄国	Russia	é guó
俄國	Russia	é guó
俄备得	Obed	é bèi dé
俄巴底亚书	Book of Obadiah	é bā dǐ yà shū
俄巴底亞書	Book of Obadiah	é bā dǐ yà shū
俄文	Russian language	é wén
俄斯特拉发	Ostrava	é sī tè lā fā
俄斯特拉发	Ostrava	é sī tè 拉 fā
俄斯特拉發	Ostrava	é sī tè lā fā
俄斯特拉發	Ostrava	é sī tè 拉 fā
俄罗斯	Russia	é luó sī
俄罗斯人	Russian	é luó sī rén
俄罗斯族	Russians	é luó sī zú
俄罗斯联邦	Russian Federation	é luó sī lián bāng
俄羅斯	Russia	é luó sī
俄羅斯	Russia	é luó sī
俄羅斯人	Russian	é luó sī rén
俄羅斯人	Russian	é luó sī rén
俄羅斯族	Russians	é luó sī zú
俄羅斯族	Russians	é luó sī zú
俄羅斯聯邦	Russian Federation	é luó sī lián bāng
俄羅斯聯邦	Russian Federation	é luó sī lián bāng
俄羅斯聯邦	Russian Federation	é luó sī lián bāng
俄联邦	Russian Federation	é lián bāng
俄聯邦	Russian Federation	é lián bāng
俄聯邦	Russian Federation	é lián bāng
俄語	Russian language	é yǔ
俄语	Russian language	é yǔ
俄頃	in a moment/presently	é qǐng
俄顷	in a moment/presently	é qǐng
俅	ornamental cap	qiú
俊	handsome/eminent/talented	jùn
俊拔	outstandingly talented	jùn bá
俊秀	pretty	jùn xiù
俊美	pretty/handsome	jùn měi
俊雅	elegant	jùn yǎ
俎	a stand for food at sacrifice	zǔ
俏丽	pretty/handsome	qiào lì
俏皮	witty/smart	qiào pi
俏皮話	witticism	qiào pi huà
俏皮话	witticism	qiào pi huà
俏麗	pretty/handsome	qiào lì
俏麗	pretty/handsome	qiào lì
俐	clever	lì
俗	secular	sú
俗世	secular world	sú shì
俗套	conventional pattern/convention	sú tào
俗家	layman	sú jiā
俗气	banal/vulgar/in poor taste	sú qì
俗氣	banal/vulgar/in poor taste	sú qì
俗称	commonly referred to as	sú chēng
俗稱	commonly referred to as	sú chēng
俗話	proverb/common saying	sú huà
俗語	common saying	sú yǔ
俗諺	proverb	sú yàn
俗话	proverb/common saying	sú huà
俗语	common saying	sú yǔ
俗谚	proverb	sú yàn
俘	prisoner of war/take prisoner	fú
俘獲	capture/to capture	fú huò
俘获	capture/to capture	fú huò
俘虏	captive/capture	fú lǔ
俘虜	captive/capture	fú lǔ
俘虜	captive/capture	fú lǔ
俚	rustic/vulgar	lǐ
俚語	slang	lǐ yǔ
俚语	slang	lǐ yǔ
保	to defend/Bulgaria	bǎo
保住	keep/retain	bǎo zhù
保佑	bless and protect	bǎo yòu
保修	warranty	bǎo xiū
保值	insure	bǎo zhí
保健	health care	bǎo jiàn
保健室	health centre	bǎo jiàn shì
保全	preserve/save from damage	bǎo quán
保全	preserve/save from damage	bǎo quán
保养	keep in good repair	bǎo yǎng
保准	assure	bǎo zhǔn
保加利亚	Bulgaria	bǎo jiā lì yà
保加利亚	Bulgaria	bǎo jiā lì yà
保加利亚语	Bulgarian	bǎo jiā lì yà yǔ
保加利亚语	Bulgarian	bǎo jiā 利 yà yǔ
保加利亞	Bulgaria	bǎo jiā lì yà
保加利亞	Bulgaria	bǎo jiā lì yà
保加利亞語	Bulgarian	bǎo jiā lì yà yǔ
保加利亞語	Bulgarian	bǎo jiā 利 yà yǔ
保单	guarantee slip	bǎo dān
保卫	safeguard/to defend	bǎo wèi
保命	survive/save one's life	bǎo mìng
保單	guarantee slip	bǎo dān
保固	guarantee	bǎo gù
保姆	nanny	bǎo mǔ
保存	preserve	bǎo cún
保守	keep	bǎo shǒu
保守主义	conservatism	bǎo shǒu zhǔ yì
保守主義	conservatism	bǎo shǒu zhǔ yì
保安	ensure public security/security guard	bǎo ān
保安自动化	security automation	bǎo ān zì dòng huà
保安自動化	security automation	bǎo ān zì dòng huà
保定	Baoding	bǎo dìng
保定市	Baoding	bǎo dìng shì
保密性	secrecy	bǎo mì xìng
保尔	Paul	bǎo ěr
保尔森	Paulson	bǎo ěr sēn
保山	Baoshan	bǎo shān
保山市	Baoshan	bǎo shān shì
保康	Baokang	bǎo kāng
保德	Baode	bǎo dé
保惠师	comforter	bǎo huì shī
保惠師	comforter	bǎo huì shī
保护	safeguard/protection/to protect	bǎo hù
保护主义	protectionism	bǎo hù zhǔ yì
保护区	conservation district	bǎo hù qū
保护国	protectorate	bǎo hù guó
保护性	protective	bǎo hù xìng
保护环境	protect the environment	bǎo hù huán jìng
保护者	protector	bǎo hù zhě
保护者	protector	bǎo hù zhě
保护者	protector	bǎo hù zhě
保护色	protective colouration/camouflage	bǎo hù sè
保持	preserve/maintain/to maintain	bǎo chí
保持联系	keep in touch/to keep in touch	bǎo chí lián xì
保持聯繫	to keep in touch	bǎo chí lián xì
保持聯繫	to keep in touch	bǎo chí 聯 xì
保时捷	Porsche	bǎo shí jié
保本	break even	bǎo běn
保洁箱	litter-bin	bǎo jié xiāng
保温	heat preservation	bǎo wēn
保溫	heat preservation	bǎo wēn
保潔箱	litter-bin	bǎo jié xiāng
保爾	Paul	bǎo ěr
保爾森	Paulson	bǎo ěr sēn
保留	retain	bǎo liú
保留	retain	bǎo liú
保留剧目	repertory	bǎo liú jù mù
保留剧目	repertory	bǎo liú jù mù
保留劇目	repertory	bǎo liú jù mù
保留劇目	repertory	bǎo liú jù mù
保皇党	royalists	bǎo huáng dǎng
保皇黨	royalists	bǎo huáng dǎng
保真度	fidelity	bǎo zhēn dù
保真度	fidelity	bǎo zhēn dù
保管	surely/take care of	bǎo guǎn
保管员	storeroom clerk	bǎo guǎn yuán
保管員	storeroom clerk	bǎo guǎn yuán
保罗	Paul	bǎo luó
保羅	Paul	bǎo luó
保羅	Paul	bǎo luó
保育	child care	bǎo yù
保苗	keep a full stand of seedlings	bǎo miáo
保藏	preserve/keep in store	bǎo cáng
保衛	safeguard/to defend	bǎo wèi
保證	to guarantee/guarantee	bǎo zhèng
保證人	guarantor	bǎo zhèng rén
保證金	cash deposit	bǎo zhèng jīn
保證金	cash deposit	bǎo zhèng jīn
保護	safeguard/protection/to protect	bǎo hù
保護主義	protectionism	bǎo hù zhǔ yì
保護區	conservation district	bǎo hù qū
保護國	protectorate	bǎo hù guó
保護性	protective	bǎo hù xìng
保護環境	protect the environment	bǎo hù huán jìng
保護者	protector	bǎo hù zhě
保護者	protector	bǎo hù zhě
保護者	protector	bǎo hù zhě
保護色	protective colouration/camouflage	bǎo hù sè
保证	to guarantee/guarantee	bǎo zhèng
保证人	guarantor	bǎo zhèng rén
保证金	cash deposit	bǎo zhèng jīn
保证金	cash deposit	bǎo zhèng jīn
保費	insurance premium	bǎo fèi
保费	insurance premium	bǎo fèi
保释	release on bail/bail	bǎo shì
保釋	release on bail/bail	bǎo shì
保重	take care of oneself	bǎo zhòng
保鏢	bodyguard	bǎo biāo
保镖	bodyguard	bǎo biāo
保险	insurance	bǎo xiǎn
保险丝	fuse	bǎo xiǎn sī
保险公司	insurance company	bǎo xiǎn gōng sī
保险套	condom	bǎo xiǎn tào
保险法	insurance law	bǎo xiǎn fǎ
保险盒	fuse box	bǎo xiǎn hé
保险箱	safe	bǎo xiǎn xiāng
保险费	insurance fee	bǎo xiǎn fèi
保险金	insurance money	bǎo xiǎn jīn
保险金	insurance money	bǎo xiǎn 金
保障	to guarantee	bǎo zhàng
保險	insurance	bǎo xiǎn
保險公司	insurance company	bǎo xiǎn gōng sī
保險套	condom	bǎo xiǎn tào
保險法	insurance law	bǎo xiǎn fǎ
保險盒	fuse box	bǎo xiǎn hé
保險箱	safe	bǎo xiǎn xiāng
保險絲	fuse	bǎo xiǎn sī
保險費	insurance fee	bǎo xiǎn fèi
保險金	insurance money	bǎo xiǎn jīn
保險金	insurance money	bǎo xiǎn 金
保靖	Baojing	bǎo jìng
保靖	Baojing	bǎo jìng
保靖	Baojing	bǎo jìng
保養	keep in good repair	bǎo yǎng
保駕	escort the Emperor	bǎo jià
保驾	escort the Emperor	bǎo jià
保齡球	bowling	bǎo líng qiú
保龄球	bowling	bǎo líng qiú
俠	hero/knight-errant/heroic	xiá
俠士	knight-errant	xiá shì
俠客	knight-errant	xiá kè
俠義	chivalrous/chivalry	xiá yì
信	to believe	xìn
信丰	Xinfeng	xìn fēng
信人	honest	xìn rén
信令	signaling	xìn lìng
信令	signaling	xìn lìng
信仰	believe/firm belief	xìn yǎng
信件	letter	xìn jiàn
信任	have confidence in/trust	xìn rèn
信任投票	vote of confidence	xìn rèn tóu piào
信佛	believe in Buddhism	xìn fó
信使	messenger/courier	xìn shǐ
信兒	information	xìn ér
信函	letter	xìn hán
信号	signal	xìn hào
信号兵	signalman	xìn hào bīng
信号台	signal station	xìn hào tái
信天翁	albatross	xìn tiān wēng
信奉	to believe/belief	xìn fèng
信守	abide by	xìn shǒu
信宜	Xinyi	xìn yí
信实	trustworthy/reliable/trust	xìn shí
信實	trustworthy/reliable/trust	xìn shí
信封	envelope	xìn fēng
信差	messenger	xìn chāi
信徒	believer	xìn tú
信得过	trustworthy/trust	xìn de guò
信得過	trustworthy/trust	xìn de guò
信心	confidence	xìn xīn
信念	faith/belief/conviction	xìn niàn
信念	faith/belief/conviction	xìn niàn
信息	information/message/news	xìn xī
信息中心	information centre	xìn xī zhōng xīn
信息产业部	Ministry of Information Industries	xìn xī chǎn yè bù
信息传视	videotex	xìn xī chuán shì
信息傳視	videotex	xìn xī chuán shì
信息傳視	videotex	xìn xī chuán 視
信息傳視	videotex	xìn xī chuán 視
信息化	informatization	xìn xī huà
信息处理	information processing	xìn xī chǔ lǐ
信息处理	information processing	xìn xī chù 理
信息学	information science	xìn xī xué
信息學	information science	xìn xī xué
信息技术	information technology	xìn xī jì shù
信息技術	information technology	xìn xī jì shù
信息时代	information age	xìn xī shí dài
信息時代	information age	xìn xī shí dài
信息服务	information service	xìn xī fú wù
信息服務	information service	xìn xī fú wù
信息產業部	Ministry of Information Industries	xìn xī chǎn yè bù
信息社会	information society	xìn xī shè huì
信息社会	information society	xìn xī 社 huì
信息社會	information society	xìn xī shè huì
信息社會	information society	xìn xī 社 huì
信息管理	information management	xìn xī guǎn lǐ
信息管理	information management	xìn xī guǎn lǐ
信息系統	information system	xìn xī xì tǒng
信息系统	information system	xìn xī xì tǒng
信息素	pheromone	xìn xī sù
信息網	information network	xìn xī wǎng
信息网	information network	xìn xī wǎng
信息處理	information processing	xìn xī chù lǐ
信息處理	information processing	xìn xī chù 理
信息論	information theory	xìn xī lùn
信息論	information theory	xìn xī lùn
信息论	information theory	xìn xī lùn
信托	entrust/trust	xìn tuō
信托公司	trust company	xìn tuō gōng sī
信托基金	trust fund	xìn tuō jī jīn
信托基金	trust fund	xìn tuō jī 金
信服	to convince/be convinced	xìn fú
信札	letter	xìn zhá
信条	credo	xìn tiáo
信标	beacon	xìn biāo
信條	credo	xìn tiáo
信然	indeed	xìn rán
信物	token; pledge	xìn wù
信用	credit/trustworthiness	xìn yòng
信用卡	credit card	xìn yòng kǎ
信用紧缩	credit crunch	xìn yòng jǐn suō
信用緊縮	credit crunch	xìn yòng jǐn suō
信用證	letter of credit	xìn yòng zhèng
信用證券	instrument of credit	xìn yòng zhèng quàn
信用证	letter of credit	xìn yòng zhèng
信用证券	instrument of credit	xìn yòng zhèng quàn
信用風險	credit risk	xìn yòng fēng xiǎn
信用风险	credit risk	xìn yòng fēng xiǎn
信笺	letter	xìn jiān
信筒	mailbox	xìn tǒng
信箋	letter	xìn jiān
信箱	mailbox	xìn xiāng
信號	signal	xìn hào
信號兵	signalman	xìn hào bīng
信號臺	signal station	xìn hào tái
信託	trust/entrust	xìn tuō
信誉	reputation/prestige	xìn yù
信譽	reputation/prestige	xìn yù
信豐	Xinfeng	xìn fēng
信貸	credit	xìn dài
信賴	have faith in/trust	xìn lài
信贷	credit	xìn dài
信赖	have faith in/trust	xìn lài
信道	signal path	xìn dào
信阳市	Xinyang	xìn yáng shì
信陽市	Xinyang	xìn yáng shì
信靠	trust	xìn kào
信風	trade wind	xìn fēng
信风	trade wind	xìn fēng
俣	big	yǔ
俦	comrades/companion	chóu
俨	majestic	yǎn
俨如白昼	as bright as day	yǎn rú bái zhòu
俨然	solemn/just like/dignified	yǎn rán
俩	some/two	liǎ
俪	husband and wife	lì
俭	frugal	jiǎn
俭以养廉	frugality makes honesty	jiǎn yǐ yǎng lián
俭以养廉	frugality makes honesty	jiǎn yǐ yǎng lián
俭朴	thrifty and simple	jiǎn pǔ
俭用	skimp	jiǎn yòng
俭省	frugal/thrifty	jiǎn shěng
俭省	frugal/thrifty	jiǎn shěng
修	repair	xiū
修业	study at school	xiū yè
修习	study	xiū xí
修会	religious order	xiū huì
修养	training	xiū yǎng
修剪	trim/prune	xiū jiǎn
修士	brother/friar	xiū shì
修复	renovate	xiū fù
修女	nun	xiū nǚ
修女	nun	xiū nǚ
修好	repair/to repair	xiū hǎo
修建	to build/build/construct	xiū jiàn
修復	renovate	xiū fù
修復	renovate	xiū fù
修手	manicure	xiū shǒu
修指甲	manicure	xiū zhǐ jia
修撰	compile	xiū zhuàn
修改	amend/to modify/alter	xiū gǎi
修整	trim	xiū zhěng
修文	Xiuwen	xiū wén
修會	religious order	xiū huì
修業	study at school	xiū yè
修正	to revise	xiū zhèng
修正主义	revisionism	xiū zhèng zhǔ yì
修正主义者	revisionist	xiū zhèng zhǔ yì zhě
修正主义者	revisionist	xiū zhèng zhǔ yì 者
修正主义者	revisionist	xiū zhèng zhǔ yì 者
修正主義	revisionism	xiū zhèng zhǔ yì
修正主義者	revisionist	xiū zhèng zhǔ yì zhě
修正主義者	revisionist	xiū zhèng zhǔ yì 者
修正主義者	revisionist	xiū zhèng zhǔ yì 者
修正案	amendment/revised draft	xiū zhèng àn
修正液	correction fluid	xiū zhèng yè
修武	Xiuwu	xiū wǔ
修水	Xiushui	xiū shuǐ
修炼	to practice asceticism/practice asceticism	xiū liàn
修煉	to practice asceticism/practice asceticism	xiū liàn
修煉	to practice asceticism/practice asceticism	xiū liàn
修理	repair/fix/to overhaul	xiū lǐ
修理	repair/fix/to overhaul	xiū lǐ
修理厂	repair shop	xiū lǐ chǎng
修理厂	repair shop	xiū lǐ chǎng
修理廠	repair shop	xiū lǐ chǎng
修理廠	repair shop	xiū lǐ chǎng
修睦	cultivate friendship with neighbours	xiū mù
修筑	to build/build	xiū zhù
修築	to build/build	xiū zhù
修繕	renovate	xiū shàn
修缮	renovate	xiū shàn
修習	study	xiū xí
修脚	pedicure	xiū jiǎo
修脚师	pedicurist	xiū jiǎo shī
修腳	pedicure	xiū jiǎo
修腳師	pedicurist	xiū jiǎo shī
修葺	renovate/repair	xiū qì
修补	mend	xiū bǔ
修补匠	tinker	xiū bǔ jiàng
修補	mend	xiū bǔ
修補匠	tinker	xiū bǔ jiàng
修訂	to revise/revise	xiū dìng
修訂本	revised edition	xiū dìng běn
修訂版	revised edition	xiū dìng bǎn
修订	to revise/revise	xiū dìng
修订本	revised edition	xiū dìng běn
修订版	revised edition	xiū dìng bǎn
修路	repair a road	xiū lù
修路	repair a road	xiū lù
修身	cultivate one's moral character	xiū shēn
修辞	rhetoric	xiū cí
修辭	rhetoric	xiū cí
修道院	monastery/convent	xiū dào yuàn
修長	slender/tall and thin	xiū cháng
修长	slender/tall and thin	xiū cháng
修院	seminary	xiū yuàn
修飾	qualify	xiū shì
修養	training	xiū yǎng
修饰	qualify	xiū shì
俯	look down	fǔ
俯仰之間	in a flash	fǔ yǎng zhī jiān
俯仰之间	in a flash	fǔ yǎng zhī jiān
俯伏	prostrate	fǔ fú
俯卧撑	push-up	fǔ wò chēng
俯瞰	overlook/to overlook	fǔ kàn
俯瞰图	bird's-eye view	fǔ kàn tú
俯瞰圖	bird's-eye view	fǔ kàn tú
俯臥撐	push-up	fǔ wò chēng
俯視	overlook/look down at	fǔ shì
俯視	overlook/look down at	fǔ shì
俯視	overlook/look down at	fǔ shì
俯视	overlook/look down at	fǔ shì
俯身	stoop/bend over	fǔ shēn
俱	entirely	jù
俱乐部	club	jù lè bù
俱樂部	club	jù lè bù
俱樂部	club	jù lè bù
俱樂部	club	jù lè bù
俱樂部	club	jù lè bù
俳句	haiku	pái jù
俳句	haiku	pái jù
俸	salary	fèng
俸恤	payment and pension	fèng xù
俸給	salary/pay	fèng jǐ
俸给	salary/pay	fèng jǐ
俸銀	official salary	fèng yín
俸錢	salary	fèng qián
俸钱	salary	fèng qián
俸银	official salary	fèng yín
俾	to cause	bǐ
俾使	so as to	bǐ shǐ
俾格米	Pygmy	bǐ gé mǐ
倆	some/two	liǎ
倉	storehouse/barn	cāng
倉促	hurried	cāng cù
倉庫	warehouse/depot/storehouse	cāng kù
倉皇	panic	cāng huáng
倉鼠	hamster	cāng shǔ
個中	therein	gè zhōng
個中人	a person in the know	gè zhōng rén
個人	personal/individual	gè rén
個人主義	individualism	gè rén zhǔ yì
個人崇拜	personality cult	gè rén chóng bài
個人習語	idiolect	gè rén xí yǔ
個人計算機	personal computer	gè rén jì suàn jī
個人電腦	personal computer	gè rén diàn nǎo
個例	example	gè lì
個例	example	gè lì
個個	each and every	gè gè
個兒	height/size/stature	gè r
個別	specific/individual	gè bié
個子	stature/build/height	gè zi
個性	individuality/personality	gè xìng
個把	one or two	gè bǎ
個舊市	Gejiu	gè jiù shì
個頭	size/height	gè tóu
個體	individual	gè tǐ
倌	herdsman	guān
倍	double	bèi
倍塔	beta	bèi tǎ
倍增	to double	bèi zēng
倍增器	multiplier	bèi zēng qì
倍增器	multiplier	bèi zēng qì
倍数	multiple	bèi shù
倍數	multiple	bèi shù
倍數	multiple	bèi shù
倍頻器	frequency multiplier	bèi pín qì
倍頻器	frequency multiplier	bèi pín qì
倍頻器	frequency multiplier	bèi pín qì
倍頻器	frequency multiplier	bèi pín qì
倍频器	frequency multiplier	bèi pín qì
倍频器	frequency multiplier	bèi pín qì
倏	sudden	shū
倏地	suddenly/swiftly	shū de
們	s	men
倒	move backward	dǎo
倒下	collapse	dǎo xià
倒不如	not better than	dào bù rú
倒不如	not better than	dào 不 rú
倒写	mirror writing	dào xiě
倒卧	lie down	dǎo wò
倒叙	flashback	dào xù
倒台	fall from power	dǎo tái
倒嚼	ruminate	dǎo jiào
倒地	to fall to the ground	dǎo dì
倒坍	collapse	dǎo tān
倒塌	topple over/to collapse/collapse	dǎo tā
倒头	lie down	dǎo tóu
倒寫	mirror writing	dào xiě
倒帐	bad debts	dǎo zhàng
倒帳	bad debts	dǎo zhàng
倒序	reverse order	dào xù
倒影	inverted image	dào yǐng
倒挂金钟	fuchsia	dào guà jīn zhōng
倒挂金钟	fuchsia	dào guà 金 zhōng
倒换	rotate/take turns	dǎo huàn
倒換	rotate/take turns	dǎo huàn
倒放	upend	dào fàng
倒敘	flashback	dào xù
倒数	count backward/reciprocal	dào shǔ
倒數	count backward/reciprocal	dào shǔ
倒數	count backward/reciprocal	dào shǔ
倒斃	fall dead	dǎo bì
倒是	contrariwise/actually	dào shi
倒替	replace/take turns	dǎo tì
倒果为因	reverse cause and effect	dào guǒ wéi yīn
倒果為因	reverse cause and effect	dào guǒ wéi yīn
倒毙	fall dead	dǎo bì
倒流	flow backwards	dào liú
倒流	flow backwards	dào liú
倒流	flow backwards	dào liú
倒爷	profiteer	dǎo yé
倒爺	profiteer	dǎo yé
倒睫	trichiasis	dào jié
倒立	handstand	dào lì
倒立	handstand	dào lì
倒置	invert	dào zhì
倒胃口	spoil one's appetite	dǎo wèi kǒu
倒臥	lie down	dǎo wò
倒臺	fall from power	dǎo tái
倒苦水	pour out one's grievances	dào kǔ shuǐ
倒要	instead	dào yào
倒计时	countdown	dào jì shí
倒退	fall back	dào tuì
倒鉤	barb	dào gōu
倒钩	barb	dào gōu
倒閉	go bankrupt/to go bankrupt	dǎo bì
倒闭	go bankrupt/to go bankrupt	dǎo bì
倒頭	lie down	dǎo tóu
倔	crabby	jué
倔強	stubborn/obstinate/unbending	jué jiàng
倔强	stubborn/obstinate/unbending	jué jiàng
倘	supposing/in case/if	cháng
倘或	if/supposing	tǎng huò
倘然	if/supposing	tǎng rán
倘若	provided/if/supposing	tǎng ruò
倘若	provided/if/supposing	tǎng ruò
候	wait/inquire after/season	hòu
候车室	waiting room	hòu chē shì
候选	candidate	hòu xuǎn
候选人	candidate	hòu xuǎn rén
候選	candidate	hòu xuǎn
候選人	candidate	hòu xuǎn rén
候駕	await (your) gracious presence	hòu jià
候驾	await (your) gracious presence	hòu jià
候鳥	migratory bird	hòu niǎo
候鸟	migratory bird	hòu niǎo
倚	to lean on/rely upon	yǐ
倚仗	to lean on/rely on	yǐ zhàng
倚賴	rely on/be dependent on	yǐ lài
倚赖	rely on/be dependent on	yǐ lài
倚重	to rely heavily upon	yǐ zhòng
倚靠	rely on	yǐ kào
倜	energetic	tì
倜傥	free and easy	tì tǎng
倜儻	free and easy	tì tǎng
借	to lend/borrow/lend	jiè
借书单	book slip	jiè shū dān
借书证	library card	jiè shū zhèng
借债	borrow money	jiè zhài
借債	borrow money	jiè zhài
借光	Excuse me.	jiè guāng
借出	lend	jiè chū
借助	draw support from	jiè zhù
借口	pretext/pretext	jiè kǒu
借古諷今	use the past to disparage the present	jiè gǔ fěng jīn
借古讽今	use the past to disparage the present	jiè gǔ fěng jīn
借据	receipt for a loan	jiè jù
借據	receipt for a loan	jiè jù
借方差額	debit balance	jiè fāng chā é
借方差额	debit balance	jiè fāng chā é
借書單	book slip	jiè shū dān
借書證	library card	jiè shū zhèng
借机	to seize the opportunity	jiè jī
借条	IOU/receipt for a loan	jiè tiáo
借條	IOU/receipt for a loan	jiè tiáo
借款	loan	jiè kuǎn
借此	so as to	jiè cǐ
借用	borrow	jiè yòng
借給	lend to	jiè gěi
借给	lend to	jiè gěi
借記	debit	jiè jì
借記卡	debit card	jiè jì kǎ
借調	temporarily transfer	jiè diào
借調	temporarily transfer	jiè diào
借讀	attend school on a temporary basis	jiè dú
借讀	attend school on a temporary basis	jiè dú
借记	debit	jiè jì
借记卡	debit card	jiè jì kǎ
借读	attend school on a temporary basis	jiè dú
借调	temporarily transfer	jiè diào
借貸資本	loan capital	jiè dài zī běn
借贷资本	loan capital	jiè dài zī běn
借过	excuse me	jiè guò
借過	excuse me	jiè guò
借錢	to borrow money/borrow money	jiè qián
借钱	to borrow money/borrow money	jiè qián
倡	initiate	chàng
倡始	initiate	chàng shǐ
倡导	initiate/propose/to propose	chàng dǎo
倡导者	pioneer/advocate	chàng dǎo zhě
倡导者	pioneer/advocate	chàng dǎo zhě
倡导者	pioneer/advocate	chàng dǎo zhě
倡導	initiate/propose/to propose	chàng dǎo
倡導者	pioneer/advocate	chàng dǎo zhě
倡導者	pioneer/advocate	chàng dǎo zhě
倡導者	pioneer/advocate	chàng dǎo zhě
倡言	propose/initiate	chàng yán
倥	ignorant	kōng
倥侗	unenlightened/ignorant	kōng tóng
倥偬	urgent	kǒng zǒng
倥傯	urgent	kǒng zǒng
倦	tired	juàn
倦怠	worn out	juàn dài
倨	haughty/arrogant	jù
倨傲	arrogant	jù ào
倩	to ask	qiàn
倩影	beautiful image of a woman	qiàn yǐng
倫	human relationship/human relations	lún
倫	human relationship/human relations	lún
倫巴舞	rumba	lún bā wǔ
倫巴舞	rumba	倫 bā wǔ
倫敦	London	lún dūn
倫敦	London	lún dūn
倫敦德里	Londonderry	lún dūn dé lǐ
倫敦德里	Londonderry	lún dūn dé 里
倫敦德里	Londonderry	倫 dūn dé lǐ
倫比	rival/category	lún bǐ
倫比	rival/category	倫 bǐ
倫理	ethics	lún lǐ
倫理	ethics	lún lǐ
倫理	ethics	lún lǐ
倫理學	ethics	lún lǐ xué
倫理學	ethics	lún lǐ xué
倫理學	ethics	lún lǐ xué
倭	Japanese	wō
倭人	Japanese	wō rén
倭寇	Japanese pirates	wō kòu
倭黑猩猩	bonobo	wō hēi xīng xing
债	debt	zhài
债主	creditor	zhài zhǔ
债券	debenture/bond	zhài quàn
债务	debt	zhài wù
债务人	debtor	zhài wù rén
债户	debtor	zhài hù
债权	creditor's rights	zhài quán
债权人	creditor	zhài quán rén
债款	loan	zhài kuǎn
值	be on duty/value/be worth	zhí
值夜	on night duty	zhí yè
值得	to be worth/deserve	zhí de
值得一看	be worth a look	zhí de yī kàn
值得称赞	commendable	zhí de chēng zàn
值日生	student on duty	zhí rì shēng
值班	be on duty/on duty	zhí bān
值錢	costly/valuable	zhí qián
值钱	costly/valuable	zhí qián
倾	to overturn/to incline/incline	qīng
倾佩	admire	qīng pèi
倾侧	slant	qīng cè
倾倒	topple over/pour	qīng dǎo
倾卸	dump	qīng xiè
倾吐	pour-out one's heart	qīng tǔ
倾向	trend	qīng xiàng
倾听	listen carefully	qīng tīng
